,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear
192,Goran Dragić,PG,35,BRK,16,6,25.5,2.8,7.3,0.376,0.8,3.1,0.245,2.0,4.3,0.471,0.427,1.1,1.4,0.739,0.7,2.5,3.2,4.8,0.9,0.2,2.1,2.3,7.3,0.419,24.7,0.7,-4.4,-1.1,10.4,0.3,0.197,-3.3,3.0,-0.2,8.6,1.7,20.6,6.8,0.46,16.9,-0.3,0.1,0.006,,,"$728,742",,2022,2021,2023
193,Andre Drummond,C,28,TOT,73,36,19.7,3.4,5.9,0.57,0.0,0.0,0.0,3.4,5.9,0.574,0.57,1.2,2.2,0.524,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9,0.007,13.7,4.2,1.3,1.4,34.1,3.1,0.379,-0.1,18.0,2.0,21.0,2.7,18.5,26.2,0.574,19.0,1.2,5.1,0.17,"$3,360,000",CHI,"$2,401,537",$3360000,2022,2021,2023
194,Andre Drummond,C,28,PHI,49,12,18.4,2.6,4.9,0.538,0.0,0.0,0.0,2.6,4.8,0.542,0.538,0.9,1.7,0.512,2.8,6.1,8.8,2.0,1.1,0.9,1.6,2.5,6.1,0.008,16.0,4.5,1.3,2.5,36.1,2.2,0.345,-1.2,17.1,0.7,19.3,3.1,22.4,26.8,0.544,17.6,0.7,2.9,0.153,"$3,360,000",CHI,"$2,401,537",$3360000,2022,2021,2023
195,Andre Drummond,C,28,BRK,24,24,22.3,5.0,8.1,0.61,0.0,0.0,0.0,5.0,8.1,0.613,0.61,1.8,3.4,0.537,3.9,6.4,10.3,1.4,0.9,1.0,1.5,3.0,11.8,0.005,9.8,3.8,1.2,-0.5,30.6,0.9,0.421,1.7,19.4,1.3,23.8,2.0,13.5,25.1,0.61,21.5,0.4,2.2,0.199,"$3,360,000",CHI,"$2,401,537",$3360000,2022,2021,2023
196,Chris Duarte,SG,24,IND,55,39,28.0,4.9,11.3,0.432,1.7,4.6,0.369,3.2,6.7,0.475,0.507,1.6,2.0,0.804,0.7,3.4,4.1,2.1,1.0,0.2,1.6,1.7,13.1,0.411,10.9,0.6,-2.3,-1.1,13.6,0.7,0.18,-1.2,2.9,0.2,12.3,1.8,11.8,8.2,0.537,21.1,-0.1,0.9,0.029,"$4,124,400",SAC,"$3,749,520",$4124400,2022,2021,2023
197,David Duke Jr.,PG,22,BRK,22,7,15.5,1.8,4.9,0.361,0.4,1.7,0.243,1.4,3.2,0.423,0.403,0.8,1.0,0.81,1.4,1.7,3.0,0.8,0.6,0.3,0.4,1.6,4.7,0.343,6.6,1.8,-3.9,-0.9,11.5,0.3,0.194,-3.0,9.8,0.0,10.0,2.0,7.1,10.7,0.444,15.9,-0.2,0.3,0.048,,,,,2022,2021,2023
198,Kris Dunn,PG,27,POR,14,3,24.0,3.1,7.3,0.431,0.1,0.8,0.091,3.1,6.5,0.473,0.436,1.2,1.3,0.944,0.6,2.9,3.5,5.6,1.6,0.2,2.3,2.7,7.6,0.108,35.1,0.9,-5.4,-0.8,13.6,0.3,0.176,-4.6,2.8,-0.1,12.5,3.3,22.5,8.0,0.482,18.3,-0.3,0.2,0.024,"$2,586,665",UTA,,$2586665,2022,2021,2023
199,Kevin Durant,PF,33,BRK,55,55,37.2,10.5,20.3,0.518,2.1,5.5,0.383,8.4,14.8,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,0.269,29.1,2.3,7.2,0.7,19.6,2.0,0.367,6.4,1.6,6.4,25.6,1.1,12.9,10.8,0.634,31.2,4.8,8.4,0.198,"$47,649,433",PHO,"$40,918,900",$47649433,2022,2021,2023
200,Jaime Echenique,C,24,WAS,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-8.5,-3.0,0.0,0.0,,-5.5,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.012,,,,,2022,2021,2023
201,Anthony Edwards,SG,20,MIN,72,72,34.3,7.6,17.3,0.441,3.0,8.4,0.357,4.6,8.9,0.519,0.527,3.1,3.9,0.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3,21.3,0.484,17.4,1.8,1.2,-0.4,12.5,2.4,0.225,1.6,2.6,1.8,16.5,2.0,12.2,7.5,0.56,26.4,2.0,4.3,0.084,"$13,534,817",MIN,"$10,245,480",$13534817,2022,2021,2023
202,Carsen Edwards,SG,23,DET,4,0,19.8,2.3,7.5,0.3,1.0,4.0,0.25,1.3,3.5,0.357,0.367,0.3,0.3,1.0,0.5,1.0,1.5,3.5,0.5,0.0,1.3,1.0,5.8,0.533,26.2,0.0,-9.3,-3.4,5.8,0.0,0.033,-6.0,2.6,-0.1,5.5,1.2,14.1,4.1,0.378,19.2,-0.1,-0.1,-0.075,,,"$76,744",,2022,2021,2023
203,Kessler Edwards,SF,21,BRK,48,23,20.6,2.3,5.6,0.412,1.0,2.8,0.353,1.3,2.7,0.473,0.502,0.3,0.4,0.842,0.9,2.7,3.6,0.6,0.6,0.5,0.9,1.8,5.9,0.509,4.1,2.2,-3.8,-0.8,13.8,0.9,0.071,-3.1,5.0,-0.2,8.3,1.4,13.2,9.5,0.516,13.8,-0.5,0.6,0.031,"$1,927,896",SAC,"$5,318",$1927896,2022,2021,2023
204,Rob Edwards,SG,25,OKC,2,0,5.5,0.5,2.0,0.25,0.5,2.0,0.25,0.0,0.0,,0.375,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,0.5,0.0,1.5,1.0,0.0,0.0,-11.2,-2.9,28.5,0.0,0.0,-8.3,0.0,-0.1,-0.8,0.0,20.0,14.0,0.375,19.6,0.0,0.0,-0.181,,,,,2022,2021,2023
205,CJ Elleby,SF,21,POR,58,28,20.2,2.1,5.3,0.393,0.6,2.2,0.294,1.4,3.1,0.462,0.453,1.0,1.4,0.714,1.1,2.8,3.9,1.5,0.6,0.3,1.0,2.0,5.8,0.409,10.6,1.6,-5.3,-1.5,15.6,0.5,0.273,-3.8,6.0,-0.1,9.2,1.5,14.0,10.6,0.491,14.8,-1.0,0.4,0.016,,,"$1,517,981",,2022,2021,2023
206,Wayne Ellington,SG,34,LAL,43,9,18.8,2.3,5.5,0.414,1.9,4.9,0.389,0.4,0.6,0.615,0.586,0.2,0.3,0.818,0.2,1.6,1.8,0.7,0.5,0.1,0.4,1.0,6.7,0.89,5.0,0.5,-1.4,-0.6,8.9,0.4,0.046,-0.7,1.3,0.6,9.9,1.4,7.3,5.1,0.593,13.8,0.1,1.0,0.062,,,"$2,641,691",,2022,2021,2023
207,Joel Embiid,C,27,PHI,68,68,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,0.188,23.5,3.9,9.2,2.0,31.1,4.1,0.602,7.2,7.2,7.9,31.2,1.7,11.3,19.4,0.616,37.2,6.5,12.0,0.252,"$46,900,000",PHI,"$31,579,390",$47607350,2022,2021,2023
208,James Ennis III,SF,31,TOT,7,0,8.0,1.6,3.4,0.458,0.4,1.1,0.375,1.1,2.3,0.5,0.521,0.6,0.7,0.8,0.7,1.0,1.7,0.4,0.3,0.3,0.3,0.7,4.1,0.333,7.4,3.1,-1.1,-1.0,13.1,0.1,0.208,-0.1,9.9,0.1,17.7,1.7,7.1,11.6,0.553,22.0,0.0,0.1,0.114,,,,,2022,2021,2023
209,James Ennis III,SF,31,BRK,2,0,7.0,1.0,3.5,0.286,0.5,1.0,0.5,0.5,2.5,0.2,0.357,0.0,0.0,,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5,0.286,0.0,6.4,-1.1,-0.6,22.7,0.0,0.0,-0.5,16.0,0.0,14.7,3.5,0.0,19.4,0.357,21.5,0.0,0.0,0.034,,,,,2022,2021,2023
210,James Ennis III,SF,31,LAC,2,0,14.0,3.5,5.5,0.636,1.0,2.0,0.5,2.5,3.5,0.714,0.727,2.0,2.0,1.0,1.0,1.5,2.5,0.0,0.5,0.5,0.5,2.0,10.0,0.364,0.0,3.0,4.0,0.3,11.0,0.0,0.364,3.7,7.8,0.1,26.3,1.7,7.3,9.5,0.784,21.6,0.0,0.2,0.277,,,,,2022,2021,2023
211,James Ennis III,SF,31,DEN,3,0,4.7,0.7,2.0,0.333,0.0,0.7,0.0,0.7,1.3,0.5,0.333,0.0,0.3,0.0,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3,0.333,29.8,0.0,-11.1,-4.0,7.7,0.0,0.167,-7.2,8.2,0.0,3.7,0.0,13.4,8.0,0.311,23.3,0.0,0.0,-0.134,,,,,2022,2021,2023
212,Drew Eubanks,C,24,TOT,71,31,17.5,3.1,5.2,0.596,0.1,0.3,0.217,3.0,4.9,0.621,0.602,1.4,1.8,0.762,1.8,3.5,5.4,1.2,0.4,0.6,1.1,1.7,7.7,0.062,10.1,2.8,-1.4,-0.9,22.2,1.1,0.35,-0.5,11.0,2.2,18.0,1.2,15.9,16.5,0.638,17.5,0.2,3.4,0.13,,,"$1,762,796",$2346614,2022,2021,2023
213,Drew Eubanks,C,24,SAS,49,9,12.1,1.7,3.2,0.528,0.0,0.2,0.125,1.7,3.1,0.55,0.531,1.2,1.6,0.747,1.3,2.7,4.0,1.0,0.3,0.6,0.9,1.2,4.7,0.05,11.1,4.2,-1.2,0.7,23.4,0.8,0.497,-1.9,11.2,0.6,16.0,1.0,19.2,17.3,0.588,17.0,0.1,1.4,0.114,,,"$1,762,796",$2346614,2022,2021,2023
214,Drew Eubanks,C,24,POR,22,22,29.5,6.2,9.6,0.646,0.2,0.7,0.267,6.0,9.0,0.675,0.656,1.8,2.3,0.784,3.0,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5,0.071,9.1,1.5,-1.5,-2.3,21.0,0.3,0.241,0.8,10.8,1.6,19.9,1.4,13.0,15.7,0.678,18.0,0.1,2.0,0.144,,,"$1,762,796",$2346614,2022,2021,2023
215,Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,0.417,0.0,0.0,,0.5,1.1,0.417,0.417,0.2,0.6,0.286,0.6,1.5,2.1,0.2,0.0,0.5,0.3,0.3,1.1,0.0,4.6,9.1,-3.4,0.8,29.4,0.1,0.583,-4.1,13.4,-0.1,11.3,0.0,16.6,21.6,0.398,13.6,0.0,0.1,0.043,,,,,2022,2021,2023
216,Derrick Favors,C,30,OKC,39,18,16.7,2.4,4.7,0.516,0.1,0.4,0.125,2.4,4.3,0.554,0.522,0.4,0.6,0.64,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,0.088,5.9,1.7,-2.1,0.3,20.2,0.7,0.137,-2.3,9.0,0.8,13.6,1.3,4.5,14.5,0.534,13.4,0.0,1.4,0.105,,,"$9,720,900",,2022,2021,2023
217,Bruno Fernando,C,23,TOT,30,0,5.1,1.2,1.8,0.655,0.0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,1.8,0.2,0.0,0.4,0.5,0.8,2.9,0.036,7.5,6.5,-0.1,0.2,26.6,0.2,0.436,-0.4,13.0,0.2,21.2,0.3,17.6,19.8,0.671,22.4,0.1,0.4,0.139,"$2,581,522",ATL,"$1,782,621",$2581522,2022,2021,2023
218,Bruno Fernando,C,23,BOS,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1.0,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0.0,0.2,0.3,0.3,1.0,0.071,9.6,4.7,-2.8,0.4,14.6,0.1,0.357,-3.2,13.4,0.0,12.6,0.0,23.6,14.0,0.586,16.1,0.0,0.1,0.102,"$2,581,522",ATL,"$1,782,621",$2581522,2022,2021,2023
219,Bruno Fernando,C,23,HOU,10,0,9.4,2.9,4.1,0.707,0.0,0.1,0.0,2.9,4.0,0.725,0.707,1.1,1.9,0.579,1.1,2.9,4.0,0.3,0.1,0.8,0.9,1.8,6.9,0.024,6.3,7.6,1.5,0.2,34.1,0.1,0.463,1.3,12.8,0.2,26.5,0.5,15.4,23.4,0.699,26.3,0.1,0.3,0.164,"$2,581,522",ATL,"$1,782,621",$2581522,2022,2021,2023
220,Dorian Finney-Smith,PF,28,DAL,80,80,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1.0,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1.0,2.3,11.0,0.629,8.2,1.3,0.8,0.7,10.7,3.2,0.12,0.1,5.1,3.4,12.5,1.7,9.9,7.9,0.604,13.8,1.9,6.6,0.121,"$13,932,008",BRK,"$4,000,000",$13932008,2022,2021,2023
221,Malik Fitts,PF,24,TOT,15,0,4.2,0.5,1.3,0.421,0.3,0.7,0.5,0.2,0.6,0.333,0.553,0.0,0.0,,0.1,1.0,1.1,0.3,0.0,0.0,0.1,0.3,1.4,0.526,12.7,0.0,-1.1,-0.5,25.2,0.1,0.0,-0.6,3.5,0.1,10.7,0.0,9.5,14.7,0.553,14.6,0.0,0.1,0.097,"$555,217",IND,"$231,062",$555217,2022,2021,2023
222,Malik Fitts,PF,24,UTA,7,0,5.0,0.3,1.3,0.222,0.3,0.6,0.5,0.0,0.7,0.0,0.333,0.0,0.0,,0.0,1.4,1.4,0.0,0.0,0.0,0.3,0.4,0.9,0.444,0.0,0.0,-9.8,-1.9,30.3,0.0,0.0,-7.9,0.0,-0.1,-1.6,0.0,18.2,15.6,0.333,13.7,-0.1,-0.1,-0.104,"$555,217",IND,"$231,062",$555217,2022,2021,2023
223,Malik Fitts,PF,24,BOS,8,0,3.5,0.8,1.3,0.6,0.4,0.8,0.5,0.4,0.5,0.75,0.75,0.0,0.0,,0.3,0.6,0.9,0.6,0.0,0.0,0.0,0.1,1.9,0.6,28.6,0.0,9.8,1.2,18.8,0.0,0.0,8.6,7.9,0.2,26.1,0.0,0.0,13.5,0.75,15.7,0.1,0.2,0.348,"$555,217",IND,"$231,062",$555217,2022,2021,2023
224,Malachi Flynn,PG,23,TOR,44,5,12.2,1.6,4.2,0.393,0.7,2.0,0.333,1.0,2.1,0.452,0.475,0.3,0.5,0.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1.0,4.3,0.492,18.5,0.7,-1.5,0.4,11.3,0.5,0.131,-1.8,1.9,0.5,11.7,1.9,6.3,6.4,0.488,16.5,0.1,1.0,0.092,"$3,873,025",TOR,"$2,048,040",$3873025,2022,2021,2023
225,Bryn Forbes,SG,28,TOT,75,2,17.1,3.1,7.2,0.429,1.6,3.9,0.414,1.5,3.3,0.447,0.542,1.1,1.2,0.908,0.1,1.1,1.2,1.0,0.3,0.1,0.7,1.3,8.8,0.547,8.3,0.3,-2.9,-2.2,6.9,0.6,0.161,-0.7,0.9,0.8,11.5,0.9,8.8,3.9,0.574,21.2,-0.3,1.4,0.054,,,,,2022,2021,2023
226,Bryn Forbes,SG,28,SAS,40,1,16.9,3.2,7.4,0.432,1.6,3.8,0.417,1.6,3.6,0.448,0.539,1.1,1.2,0.898,0.1,1.5,1.6,1.0,0.4,0.1,0.8,1.1,9.1,0.51,8.6,0.4,-1.6,-1.3,9.2,0.4,0.166,-0.3,0.6,0.3,12.4,1.2,9.4,4.9,0.572,21.9,0.1,0.7,0.053,,,,,2022,2021,2023
227,Bryn Forbes,SG,28,DEN,35,1,17.4,2.9,6.9,0.424,1.7,4.1,0.41,1.3,2.8,0.444,0.545,1.0,1.1,0.921,0.2,0.7,0.9,1.0,0.2,0.1,0.7,1.5,8.6,0.593,8.0,0.3,-4.3,-3.2,4.3,0.2,0.156,-1.1,1.1,0.5,10.6,0.6,8.1,2.7,0.578,20.3,-0.4,0.7,0.054,,,,,2022,2021,2023
228,Aleem Ford,SF,24,ORL,5,0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8,0.75,3.8,0.0,-11.4,-2.2,18.6,0.1,0.0,-9.1,2.8,-0.2,0.5,0.7,16.7,10.7,0.35,14.0,-0.2,-0.2,-0.103,,,,,2022,2021,2023
229,Trent Forrest,PG,23,UTA,60,6,12.8,1.3,2.6,0.49,0.1,0.5,0.185,1.2,2.1,0.555,0.506,0.6,0.8,0.792,0.4,1.3,1.7,1.8,0.5,0.1,0.8,0.7,3.3,0.174,18.6,0.7,-1.0,1.2,10.5,0.8,0.31,-2.3,3.4,0.5,10.9,1.9,21.4,7.1,0.554,12.8,0.2,1.3,0.084,,,"$8,558",,2022,2021,2023
230,Evan Fournier,SG,29,NYK,80,80,29.5,5.0,12.1,0.417,3.0,7.7,0.389,2.0,4.3,0.465,0.541,1.0,1.4,0.708,0.4,2.2,2.6,2.1,1.0,0.3,1.3,2.3,14.1,0.641,11.9,0.8,-0.7,-0.3,8.2,2.2,0.117,-0.4,1.5,1.5,12.3,1.7,9.4,4.8,0.554,20.8,0.7,3.7,0.075,"$18,857,143",NYK,"$18,139,535",$18857143,2022,2021,2023
231,De'Aaron Fox,PG,24,SAC,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,0.228,26.8,1.0,-0.6,-1.2,10.9,1.0,0.319,0.6,1.3,1.5,17.4,1.6,11.9,6.0,0.549,29.1,0.7,2.5,0.058,"$32,600,060",SAC,"$28,103,550",$32600060,2022,2021,2023
232,Melvin Frazier,SG,25,OKC,3,0,40.0,4.3,16.0,0.271,0.3,7.0,0.048,4.0,9.0,0.444,0.281,1.7,2.3,0.714,1.7,2.7,4.3,0.3,0.3,0.0,1.0,2.7,10.7,0.438,1.2,0.0,-16.4,-6.7,7.0,0.0,0.146,-9.7,4.2,-0.4,-0.4,0.4,5.5,5.6,0.313,19.5,-0.4,-0.4,-0.16,,,,,2022,2021,2023
233,Tim Frazier,PG,31,TOT,12,3,17.3,1.2,3.8,0.311,0.5,1.4,0.353,0.7,2.3,0.286,0.378,0.4,0.8,0.556,0.4,1.2,1.6,2.8,0.3,0.1,1.3,2.3,3.3,0.378,22.5,0.4,-8.6,-1.8,7.1,0.1,0.2,-6.8,2.5,-0.3,3.3,0.7,23.5,4.8,0.398,13.3,-0.3,-0.2,-0.046,,,,,2022,2021,2023
234,Tim Frazier,PG,31,ORL,10,3,20.0,1.3,4.3,0.302,0.6,1.7,0.353,0.7,2.6,0.269,0.372,0.5,0.9,0.556,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,3.7,0.395,22.6,0.5,-8.0,-1.7,7.4,0.1,0.209,-6.4,2.6,-0.2,3.8,0.7,21.7,5.0,0.394,13.0,-0.3,-0.2,-0.037,,,,,2022,2021,2023
235,Tim Frazier,PG,31,CLE,2,0,4.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.5,1.0,0.0,17.9,0.0,-23.6,-5.8,0.0,0.0,0.0,-17.8,0.0,-0.1,-10.3,0.0,50.0,0.0,0.5,22.1,0.0,0.0,-0.283,,,,,2022,2021,2023
236,Enes Freedom,C,29,BOS,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,0.052,2.7,3.1,-1.4,-0.2,25.4,0.7,0.289,-1.2,16.5,0.6,15.0,0.6,15.5,21.0,0.585,13.9,0.1,1.4,0.16,,,"$2,641,691",,2022,2021,2023
237,Markelle Fultz,PG,23,ORL,18,3,20.0,4.6,9.7,0.474,0.2,0.9,0.235,4.4,8.8,0.5,0.486,1.4,1.7,0.806,0.2,2.5,2.7,5.5,1.1,0.3,2.2,1.2,10.8,0.097,48.9,1.3,0.2,0.4,13.2,0.4,0.177,-0.1,1.2,0.0,17.7,2.7,17.5,7.2,0.517,27.5,0.2,0.4,0.053,"$17,000,000",ORL,"$16,500,000",$17000000,2022,2021,2023
238,Wenyen Gabriel,PF,24,TOT,26,5,13.8,2.1,4.2,0.491,0.3,1.1,0.286,1.8,3.2,0.561,0.527,1.0,1.6,0.595,1.5,2.2,3.7,0.5,0.2,0.4,0.6,2.6,5.4,0.255,5.6,2.7,-5.9,-2.1,17.2,0.3,0.382,-3.7,11.8,0.4,12.5,0.7,11.1,14.5,0.549,17.4,-0.4,0.7,0.089,,,"$29,814",,2022,2021,2023
239,Wenyen Gabriel,PF,24,BRK,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.6,0.3,100.0,0.0,,-1.9,0.0,0.0,11.8,0.0,,54.5,,0.0,0.0,0.0,0.167,,,"$29,814",,2022,2021,2023
240,Wenyen Gabriel,PF,24,LAC,6,0,7.7,0.8,2.2,0.385,0.3,0.8,0.4,0.5,1.3,0.375,0.462,0.3,0.7,0.5,0.8,1.5,2.3,0.3,0.2,0.3,0.5,1.8,2.3,0.385,6.0,3.7,-7.5,-0.9,20.1,0.1,0.308,-6.6,11.9,0.0,8.3,1.1,16.9,16.1,0.474,17.0,-0.1,0.0,0.041,,,"$29,814",,2022,2021,2023
241,Wenyen Gabriel,PF,24,LAL,19,5,16.4,2.6,5.1,0.505,0.3,1.2,0.261,2.3,3.9,0.581,0.536,1.2,2.0,0.605,1.8,2.5,4.3,0.6,0.2,0.5,0.7,3.0,6.7,0.237,5.5,2.6,-5.7,-2.3,16.5,0.2,0.392,-3.3,11.8,0.4,13.1,0.6,10.3,14.2,0.558,17.5,-0.3,0.6,0.096,,,"$29,814",,2022,2021,2023
242,Daniel Gafford,C,23,WAS,72,53,20.1,4.0,5.7,0.693,0.0,0.0,0.0,4.0,5.7,0.695,0.693,1.5,2.1,0.699,2.2,3.5,5.7,0.9,0.4,1.4,0.9,2.4,9.4,0.002,7.3,5.8,1.6,0.5,19.0,1.6,0.372,1.1,12.1,4.4,21.8,1.0,12.0,15.6,0.708,16.7,1.3,6.0,0.198,"$12,402,000",WAS,"$1,782,621",$12402000,2022,2021,2023
243,Danilo Gallinari,PF,33,ATL,66,18,25.3,3.9,9.0,0.434,1.7,4.5,0.381,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,0.492,8.5,0.6,-0.2,-1.2,17.8,0.8,0.261,1.0,2.3,2.8,14.3,0.8,5.4,10.1,0.579,18.4,0.8,3.6,0.105,"$6,802,950",WAS,"$20,475,000",$6802950,2022,2021,2023
244,Langston Galloway,SG,30,TOT,7,0,15.3,0.9,3.7,0.231,0.3,2.3,0.125,0.6,1.4,0.4,0.269,0.0,0.0,,0.4,2.1,2.6,1.7,0.1,0.0,0.9,1.0,2.0,0.615,13.7,0.0,-9.8,-1.8,14.7,0.1,0.0,-8.0,3.1,-0.3,0.7,0.4,18.8,9.0,0.269,12.8,-0.2,-0.2,-0.1,,,,,2022,2021,2023
245,Langston Galloway,SG,30,BRK,4,0,14.5,1.3,3.3,0.385,0.5,2.0,0.25,0.8,1.3,0.6,0.462,0.0,0.0,,0.3,1.8,2.0,1.3,0.0,0.0,1.3,1.3,3.0,0.615,11.0,0.0,-10.4,-2.8,12.8,0.0,0.0,-7.7,1.9,-0.1,1.8,0.0,27.8,7.5,0.462,13.3,-0.1,-0.1,-0.072,,,,,2022,2021,2023
246,Langston Galloway,SG,30,MIL,3,0,16.3,0.3,4.3,0.077,0.0,2.7,0.0,0.3,1.7,0.2,0.077,0.0,0.0,,0.7,2.7,3.3,2.3,0.3,0.0,0.3,0.7,0.7,0.615,16.9,0.0,-9.1,-0.6,17.0,0.0,0.0,-8.5,4.4,-0.2,-0.6,1.0,7.1,10.8,0.077,12.2,-0.1,-0.1,-0.133,,,,,2022,2021,2023
247,Darius Garland,PG,22,CLE,68,68,35.7,8.0,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,0.387,39.9,0.3,2.6,-0.8,8.2,2.5,0.205,3.4,1.8,3.8,19.0,1.8,16.2,5.1,0.576,27.8,2.8,6.3,0.125,"$33,500,000",CLE,"$7,040,880",$34005250,2022,2021,2023
248,Marcus Garrett,SG,23,MIA,12,0,10.7,0.4,1.8,0.238,0.1,0.3,0.25,0.3,1.4,0.235,0.262,0.2,0.4,0.4,0.8,1.2,1.9,0.6,0.4,0.3,0.2,1.3,1.1,0.19,7.0,2.5,-5.4,1.0,12.2,0.2,0.238,-6.4,8.1,-0.1,4.7,2.0,7.9,10.2,0.28,8.8,-0.1,0.1,0.032,,,,,2022,2021,2023
249,Usman Garuba,PF,19,HOU,24,2,10.0,0.8,1.8,0.432,0.2,0.8,0.25,0.6,1.0,0.583,0.489,0.2,0.3,0.714,0.9,2.6,3.5,0.7,0.4,0.5,0.3,1.2,2.0,0.455,9.6,4.1,-0.9,0.9,28.7,0.3,0.159,-1.8,9.6,0.2,12.9,2.0,11.3,19.1,0.51,9.4,0.1,0.5,0.105,"$2,588,400",OKC,"$2,353,320",$2588400,2022,2021,2023
250,Luka Garza,C,23,DET,32,5,12.2,2.1,4.6,0.449,0.5,1.5,0.327,1.6,3.1,0.51,0.503,1.2,1.9,0.623,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.8,0.333,8.3,1.4,-2.5,-2.0,12.3,0.2,0.415,-0.5,15.3,0.5,15.6,1.1,9.4,13.9,0.535,21.1,-0.1,0.8,0.093,,,"$925,258",,2022,2021,2023
251,Rudy Gay,PF,35,UTA,55,1,18.9,2.9,6.9,0.414,1.3,3.7,0.345,1.6,3.2,0.494,0.507,1.1,1.4,0.785,1.0,3.4,4.4,1.0,0.5,0.3,0.9,1.7,8.1,0.536,7.8,1.6,-1.0,-0.3,19.1,1.3,0.208,-0.7,6.0,0.8,13.0,1.2,10.2,12.8,0.539,19.3,0.3,2.1,0.097,"$6,479,000",OKC,"$5,890,000",$6479000,2022,2021,2023
252,Paul George,PF,31,LAC,31,31,34.7,8.6,20.5,0.421,2.9,8.3,0.354,5.7,12.2,0.467,0.493,4.1,4.8,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,2.4,24.3,0.404,28.1,1.0,3.7,1.9,19.2,1.9,0.233,1.8,1.2,-0.6,18.6,3.0,15.2,10.5,0.538,33.7,1.6,1.3,0.057,"$45,640,084",LAC,"$39,344,970",$45640084,2022,2021,2023
253,Taj Gibson,C,36,NYK,52,4,18.2,1.7,3.2,0.518,0.3,0.7,0.395,1.4,2.5,0.555,0.563,0.8,1.0,0.808,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,4.4,0.229,4.9,4.2,-2.0,1.0,16.3,1.2,0.313,-3.0,9.8,1.4,12.0,1.2,12.5,13.0,0.606,10.0,0.0,2.7,0.135,,,"$4,910,000",,2022,2021,2023
